-----,-----------,-----------,--------------,,,,,,,
Info," ""PathFollower""",6.807813," ""Curvature:-0.010522912413937794""",,,,,,-0.01,0.82
Info," ""PathFollower""",6.811489," ""Velocities (left; right):0.19894770875860623; 0.2010522912413938""",,,,,,-0.01,0.83
Info," ""Default""",6.819703," ""POS: (0.0; 0.0""",,,,,,-0.01,0.84
Info," ""Default""",6.820638," ""/ GYRO: 0.04""",,,,,,-0.01,0.84
Info," ""Default""",6.827213," ""| Encoders left right: 0.0"," 0.01""",,,,,-0.01,0.85
Info," ""Default""",6.830479," ""Left Vel0.2""",,,,,,-0.01,0.86
Info," ""Default""",6.831682," ""Right Vel0.2""",,,,,,-0.01,0.87
Info," ""Default""",6.832182," ""_____________________________________",,,,,,-0.01,0.87
"
Info, PathFollower""",6.837049," ""ONPATH = true""",,,,,,,-0.01,0.88
Info," ""PathFollower""",6.840161," ""found closest waypoint:0.0; 0.01 | 0.2""",,,,,,-0.01,0.88
Info," ""PathFollower""",6.84491," ""LookaheadPoint:0.0; 0.62""",,,,,,-0.01,0.89
Info," ""PathFollower""",6.845861," ""Curvature:-0.014212152619627381""",,,,,,-0.01,0.89
Info," ""PathFollower""",6.847285," ""Velocities (left; right):0.19857878473803728; 0.20142121526196274""",,,,,,-0.01,0.9
Info," ""Default""",6.851837," ""POS: (0.0; 0.01""",,,,,,-0.01,0.9
Info," ""Default""",6.853172," ""/ GYRO: -0.16""",,,,,,-0.01,0.91
Info," ""Default""",6.858515," ""| Encoders left right: 0.01"," 0.02""",,,,,-0.01,0.92
Info," ""Default""",6.86125," ""Left Vel0.2""",,,,,,-0.01,0.92
Info," ""Default""",6.862979," ""Right Vel0.2""",,,,,,-0.01,0.93
Info," ""Default""",6.864065," ""_____________________________________",,,,,,-0.01,0.93
"
Info, PathFollower""",6.873928," ""ONPATH = true""",,,,,,,-0.01,0.94
Info," ""PathFollower""",6.879728," ""found closest waypoint:0.0; 0.01 | 0.2""",,,,,,-0.01,0.94
Info," ""PathFollower""",6.886224," ""LookaheadPoint:0.0; 0.62""",,,,,,-0.01,0.95
Info," ""PathFollower""",6.887062," ""Curvature:-0.02749529688945908""",,,,,,-0.01,0.95
